

Measurement ID,722
Battery Name,Samsung INR21700-30T SN001
Battery Type,Li-ion
Circuit,Circuit001
Program,1784 - Samsung30T_CyclesB
Start Time,3/8/2019 11:03:48 AM
End Time,3/14/2019 12:57:25 PM
Test section,TS000668\Charge16
Comment,
OrderNo,



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
3/14/2019 3:16:11 AM,2,PAU,107:22:27.156,00:00:59.998,0,0,NN_Char_Charge_R2,3.3025,0.0000,39.2241,0.0000,0.0000,41.0000,
3/14/2019 3:17:11 AM,2,PAU,107:23:27.163,00:02:00.005,0,0,NN_Char_Charge_R2,3.3030,0.0000,39.1190,0.0000,0.0000,41.0000,
3/14/2019 3:18:11 AM,2,PAU,107:24:27.164,00:03:00.006,0,0,NN_Char_Charge_R2,3.3034,0.0000,39.0138,0.0000,0.0000,41.0000,
3/14/2019 3:19:11 AM,2,PAU,107:25:27.161,00:04:00.003,0,0,NN_Char_Charge_R2,3.3037,0.0000,39.0138,0.0000,0.0000,41.0000,
3/14/2019 3:20:11 AM,2,PAU,107:26:27.162,00:05:00.004,0,0,NN_Char_Charge_R2,3.3040,0.0000,39.0138,0.0000,0.0000,41.0000,
3/14/2019 3:21:11 AM,2,PAU,107:27:27.158,00:06:00.000,0,0,NN_Char_Charge_R2,3.3044,0.0000,38.9087,0.0000,0.0000,41.0000,
3/14/2019 3:22:11 AM,2,PAU,107:28:27.158,00:07:00.000,0,0,NN_Char_Charge_R2,3.3047,0.0000,38.9087,0.0000,0.0000,41.0000,
3/14/2019 3:23:11 AM,2,PAU,107:29:27.163,00:08:00.005,0,0,NN_Char_Charge_R2,3.3050,0.0000,38.9087,0.0000,0.0000,41.0000,
3/14/2019 3:24:11 AM,2,PAU,107:30:27.169,00:09:00.011,0,0,NN_Char_Charge_R2,3.3052,0.0000,38.9087,0.0000,0.0000,41.0000,
3/14/2019 3:25:11 AM,2,PAU,107:31:27.162,00:10:00.004,0,0,NN_Char_Charge_R2,3.3054,0.0000,38.8035,0.0000,0.0000,41.0000,
3/14/2019 3:26:11 AM,2,PAU,107:32:27.167,00:11:00.009,0,0,NN_Char_Charge_R2,3.3056,0.0000,38.9087,0.0000,0.0000,41.0000,
3/14/2019 3:27:11 AM,2,PAU,107:33:27.160,00:12:00.002,0,0,NN_Char_Charge_R2,3.3059,0.0000,38.9087,0.0000,0.0000,41.0000,
3/14/2019 3:28:11 AM,2,PAU,107:34:27.164,00:13:00.006,0,0,NN_Char_Charge_R2,3.3061,0.0000,38.8035,0.0000,0.0000,41.0000,
3/14/2019 3:29:11 AM,2,PAU,107:35:27.161,00:14:00.003,0,0,NN_Char_Charge_R2,3.3062,0.0000,38.8035,0.0000,0.0000,41.0000,
3/14/2019 3:30:11 AM,2,PAU,107:36:27.173,00:15:00.015,0,0,NN_Char_Charge_R2,3.3064,0.0000,38.9087,0.0000,0.0000,41.0000,
