

Measurement ID,847
Battery Name,Samsung INR21700-30T SN001
Battery Type,Li-ion
Circuit,Circuit001
Program,1725 - Samsung30T_NN_Char
Start Time,6/14/2019 3:24:23 PM
End Time,6/18/2019 3:32:49 AM
Test section,Dis_0p5C
Comment,-10degC
OrderNo,



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,IsSet2,IsSet3,IsSet4,IsSet5,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],[IsSet2],[IsSet3],[IsSet4],[IsSet5],
6/17/2019 3:51:38 PM,31,DCH,72:26:52.588,00:01:00.002,0,0,Samsung30T_NN_Char,3.9694,-1.4993,-9.5694,-0.0892,-0.1075,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:52:38 PM,31,DCH,72:27:52.594,00:02:00.008,0,0,Samsung30T_NN_Char,3.9578,-1.4967,-9.4643,-0.1142,-0.2065,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:53:38 PM,31,DCH,72:28:52.586,00:03:00.000,0,0,Samsung30T_NN_Char,3.9519,-1.4993,-9.7797,-0.1392,-0.3052,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:54:38 PM,31,DCH,72:29:52.598,00:04:00.012,0,0,Samsung30T_NN_Char,3.9471,-1.4993,-9.8849,-0.1642,-0.4039,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:55:38 PM,31,DCH,72:30:52.590,00:05:00.004,0,0,Samsung30T_NN_Char,3.9428,-1.4993,-9.7797,-0.1891,-0.5024,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:56:38 PM,31,DCH,72:31:52.596,00:06:00.010,0,0,Samsung30T_NN_Char,3.9382,-1.4967,-9.7797,-0.2141,-0.6008,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:57:38 PM,31,DCH,72:32:52.582,00:06:59.996,0,0,Samsung30T_NN_Char,3.9331,-1.4967,-9.7797,-0.2391,-0.6991,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:58:38 PM,31,DCH,72:33:52.587,00:08:00.001,0,0,Samsung30T_NN_Char,3.9278,-1.4993,-9.5694,-0.2640,-0.7972,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 3:59:38 PM,31,DCH,72:34:52.592,00:09:00.006,0,0,Samsung30T_NN_Char,3.9222,-1.4993,-9.4643,-0.2890,-0.8952,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:00:38 PM,31,DCH,72:35:52.590,00:10:00.004,0,0,Samsung30T_NN_Char,3.9163,-1.4993,-9.3591,-0.3140,-0.9931,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:01:38 PM,31,DCH,72:36:52.593,00:11:00.007,0,0,Samsung30T_NN_Char,3.9097,-1.4967,-9.3591,-0.3390,-1.0908,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:02:38 PM,31,DCH,72:37:52.595,00:12:00.009,0,0,Samsung30T_NN_Char,3.9023,-1.4967,-9.5694,-0.3639,-1.1883,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:03:38 PM,31,DCH,72:38:52.588,00:13:00.002,0,0,Samsung30T_NN_Char,3.8945,-1.4993,-9.4643,-0.3889,-1.2856,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:04:38 PM,31,DCH,72:39:52.592,00:14:00.006,0,0,Samsung30T_NN_Char,3.8866,-1.4967,-9.4643,-0.4139,-1.3828,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:05:38 PM,31,DCH,72:40:52.591,00:15:00.005,0,0,Samsung30T_NN_Char,3.8787,-1.4993,-9.3591,-0.4388,-1.4797,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:06:38 PM,31,DCH,72:41:52.594,00:16:00.008,0,0,Samsung30T_NN_Char,3.8706,-1.4967,-9.3591,-0.4638,-1.5765,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:07:38 PM,31,DCH,72:42:52.596,00:17:00.010,0,0,Samsung30T_NN_Char,3.8625,-1.4993,-9.2540,-0.4888,-1.6731,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:08:38 PM,31,DCH,72:43:52.587,00:18:00.001,0,0,Samsung30T_NN_Char,3.8548,-1.4993,-9.1488,-0.5138,-1.7694,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:09:38 PM,31,DCH,72:44:52.587,00:19:00.001,0,0,Samsung30T_NN_Char,3.8472,-1.4993,-9.0436,-0.5387,-1.8656,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:10:38 PM,31,DCH,72:45:52.591,00:20:00.005,0,0,Samsung30T_NN_Char,3.8394,-1.4993,-9.1488,-0.5637,-1.9615,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:11:38 PM,31,DCH,72:46:52.597,00:21:00.011,0,0,Samsung30T_NN_Char,3.8315,-1.4993,-9.1488,-0.5887,-2.0573,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:12:38 PM,31,DCH,72:47:52.591,00:22:00.005,0,0,Samsung30T_NN_Char,3.8239,-1.4967,-9.2540,-0.6136,-2.1529,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:13:38 PM,31,DCH,72:48:52.598,00:23:00.012,0,0,Samsung30T_NN_Char,3.8165,-1.4967,-9.3591,-0.6386,-2.2483,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:14:38 PM,31,DCH,72:49:52.591,00:24:00.005,0,0,Samsung30T_NN_Char,3.8093,-1.4967,-9.1488,-0.6636,-2.3435,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:15:38 PM,31,DCH,72:50:52.606,00:25:00.020,0,0,Samsung30T_NN_Char,3.8025,-1.4993,-9.2540,-0.6885,-2.4385,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:16:38 PM,31,DCH,72:51:52.593,00:26:00.007,0,0,Samsung30T_NN_Char,3.7959,-1.4967,-9.3591,-0.7135,-2.5334,4.0000,0.0000,1.0000,0.0000,0.0000,
6/17/2019 4:17:38 PM,31,DCH,72:52:52.593,00:27:00.007,0,0,Samsung30T_NN_Char,3.7895,-1.4967,-9.2540,-0.7385,-2.6281,4.0000,0.0000,1.0000,0.0000,0.0000,
