_timestamp,feedbacks_status_feedback_implausibility_detected,feedbacks_status_feedback_imd_cockpit,feedbacks_status_feedback_tsal_green_fault_latched,feedbacks_status_feedback_bms_cockpit,feedbacks_status_feedback_ext_latched,feedbacks_status_feedback_tsal_green,feedbacks_status_feedback_ts_over_60v_status,feedbacks_status_feedback_airn_status,feedbacks_status_feedback_airp_status,feedbacks_status_feedback_airp_gate,feedbacks_status_feedback_airn_gate,feedbacks_status_feedback_precharge_status,feedbacks_status_feedback_tsp_over_60v_status,feedbacks_status_feedback_imd_fault,feedbacks_status_feedback_check_mux,feedbacks_status_feedback_sd_end,feedbacks_status_feedback_sd_out,feedbacks_status_feedback_sd_in,feedbacks_status_feedback_sd_bms,feedbacks_status_feedback_sd_imd,is_circuitry_error_feedback_implausibility_detected,is_circuitry_error_feedback_imd_cockpit,is_circuitry_error_feedback_tsal_green_fault_latched,is_circuitry_error_feedback_bms_cockpit,is_circuitry_error_feedback_ext_latched,is_circuitry_error_feedback_tsal_green,is_circuitry_error_feedback_ts_over_60v_status,is_circuitry_error_feedback_airn_status,is_circuitry_error_feedback_airp_status,is_circuitry_error_feedback_airp_gate,is_circuitry_error_feedback_airn_gate,is_circuitry_error_feedback_precharge_status,is_circuitry_error_feedback_tsp_over_60v_status,is_circuitry_error_feedback_imd_fault,is_circuitry_error_feedback_check_mux,is_circuitry_error_feedback_sd_end,is_circuitry_error_feedback_sd_out,is_circuitry_error_feedback_sd_in,is_circuitry_error_feedback_sd_bms,is_circuitry_error_feedback_sd_imd
81112,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181824,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281005,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380998,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480989,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680993,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781171,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884276,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081004,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180944,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280968,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381195,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
